VendorNumber,VendorName,Brand,Description,PurchasePrice,actualprice,Volume,totalpurchasequantity,totalpurchasedollars,totalsalesquantity,totalsalesdollars,totalsalesprice,totalexcisetax,freightcost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,145080.0,3811251.600000111,142049.0,5101919.509999738,142049.0,260999.1999999924,68601.68000000001,1290667.9099996272,25.297692514943133,0.9791080783016267,1.3386467348415385
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,164038.0,3804041.2199999536,160247.0,4819073.489999815,160247.0,294438.659999995,144929.24,1015032.2699998613,21.06280952357712,0.9768895012131336,1.2668299871892224
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,187407.0,3418303.680000034,187140.0,4538120.599999793,187140.0,343854.0699999975,123780.21999999997,1119816.9199997587,24.67578583080868,0.9985752933454993,1.3275943347431751
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,201682.0,3261197.94000002,200412.0,4475972.879999838,200412.0,368242.79999999516,257032.07000000007,1214774.9399998179,27.139908408021046,0.9937029581221923,1.3724934709114316
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,138109.0,3023206.0099999965,135838.0,4223107.61999981,135838.0,249587.82999999088,257032.07000000007,1199901.6099998136,28.41276420040339,0.9835564662693959,1.396897070868093
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,138809.0,2466635.930000039,141860.0,3383912.399999843,141860.0,111699.190000003,89286.26999999999,917276.4699998042,27.106980369818285,1.0219798428055817,1.371873473034097
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,70783.0,2177285.0800000825,69627.0,2773367.7299998924,69627.0,127931.66999999555,123780.21999999997,596082.6499998099,21.49309821239728,0.9836683949535906,1.2737733590677924
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,161386.0,2088334.8399999859,148265.0,2592041.349999935,148265.0,272422.5999999956,257032.07000000007,503706.509999949,19.432811517453676,0.9186980283295949,1.241200070195617
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,91835.0,1903739.5499999446,90481.0,2640491.1899998747,90481.0,166244.4399999907,257032.07000000007,736751.63999993,27.90206772096691,0.9852561659498013,1.3870023291788793
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,108866.0,1773427.139999997,107061.0,2435393.389999904,107061.0,196707.34999999258,123880.96999999999,661966.2499999071,27.181080999810597,0.9834199842007606,1.3732694933268632
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750.0,93205.0,1530426.1000000215,91247.0,2148965.5299998987,91247.0,71840.57000000236,123780.21999999997,618539.4299998772,28.78312478096875,0.9789925433184915,1.4041615795756937
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,66942.0,1498161.9600000305,61433.0,1840615.669999925,61433.0,112875.18999999552,257032.07000000007,342453.7099998945,18.605389249995273,0.917704878850348,1.2285825692703394
480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750.0,69001.0,1478001.420000022,70122.0,2189368.77999991,70122.0,128839.07999999389,89286.26999999999,711367.3599998879,32.49189293728383,1.0162461413602701,1.4813035700600865
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,215668.0,1460072.3599999887,214238.0,2326007.779999939,214238.0,24083.770000000106,17587.59,865935.4199999501,37.22839740458534,0.9933694382105829,1.5930770581808402
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750.0,42951.0,1452173.3099999838,41639.0,2009508.6099999077,41639.0,32783.090000000484,68054.70000000003,557335.2999999239,27.73490480341607,0.9694535633629019,1.3837939288389278
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750.0,31596.0,1414552.9200000092,28372.0,1739044.2799999628,28372.0,52133.72000000066,257032.07000000007,324491.35999995354,18.659177556994724,0.897961767312318,1.2293949949924472
17035,PERNOD RICARD USA,5364,Kahlua,23.07,29.99,1750.0,60645.0,1399080.1500000013,59771.0,1844950.2899999144,59771.0,109817.06999999526,123780.21999999997,445870.13999991305,24.167054387136563,0.9855882595432435,1.3186880608662146
